casrn,inchikey,inchi_code,target,consensus_call,consensus_score,label,label_provenance,inchikey_source
100-55-0(4),MVQVNTPHUGQQHK-UHFFFAOYSA-N,"InChI=1S/C6H7NO/c8-5-6-2-1-3-7-4-6/h1-4,8H,5H2",ER,inactive,,0,cerapp_experimental_functional,inchi
100-61-8(2),AFBPFSWMIHJQDM-UHFFFAOYSA-N,"InChI=1S/C7H9N/c1-8-7-5-3-2-4-6-7/h2-6,8H,1H3",ER,inactive,,0,cerapp_experimental_functional,inchi
100-64-1(4),AFLQDEOAJRGCOW-UHFFFAOYSA-N,"InChI=1S/C6H11NO/c8-7-6-4-2-1-3-5-6/h6H,1-5H2",ER,inactive,,0,cerapp_experimental_functional,inchi
100-65-2(2),CKRZKMFTZCFYGB-UHFFFAOYSA-N,"InChI=1S/C6H7NO/c8-7-6-4-2-1-3-5-6/h1-5,7-8H",ER,inactive,,0,cerapp_experimental_functional,inchi
100-69-6(2),KGIGUEBEKRSTEW-UHFFFAOYSA-N,"InChI=1S/C7H7N/c1-2-7-5-3-4-6-8-7/h2-6H,1H2",ER,inactive,,0,cerapp_experimental_functional,inchi
100-70-9(4),FFNVQNRYTPFDDP-UHFFFAOYSA-N,InChI=1S/C6H4N2/c7-5-6-3-1-2-4-8-6/h1-4H,ER,inactive,,0,cerapp_experimental_functional,inchi
100-74-3(2),HVCNXQOWACZAFN-UHFFFAOYSA-N,"InChI=1S/C6H13NO/c1-2-7-3-5-8-6-4-7/h2-6H2,1H3",ER,inactive,,0,cerapp_experimental_functional,inchi
100-75-4(2),UWSDONTXWQOZFN-UHFFFAOYSA-N,InChI=1S/C5H10N2O/c8-6-7-4-2-1-3-5-7/h1-5H2,ER,inactive,,0,cerapp_experimental_functional,inchi
100-86-7(2),RIWRBSMFKVOJMN-UHFFFAOYSA-N,"InChI=1S/C10H14O/c1-10(2,11)8-9-6-4-3-5-7-9/h3-7,11H,8H2,1-2H3",ER,inactive,,0,cerapp_experimental_functional,inchi
"100-88-9(4), 139-05-9(2)",HCAJEUSONLESMK-UHFFFAOYSA-N,"InChI=1S/C6H13NO3S/c8-11(9,10)7-6-4-2-1-3-5-6/h6-7H,1-5H2,(H,8,9,10)",ER,inactive,,0,cerapp_experimental_functional,inchi
100-97-0(6),VKYKSIONXSXAKP-UHFFFAOYSA-N,InChI=1S/C6H12N4/c1-7-2-9-4-8(1)5-10(3-7)6-9/h1-6H2,ER,inactive,,0,cerapp_experimental_functional,inchi
1000-05-1(2),MMAKNNYIZYDWTD-UHFFFAOYSA-N,"InChI=1S/C8H26O3Si4/c1-12(2)9-14(5,6)11-15(7,8)10-13(3)4/h12-13H,1-8H3",ER,inactive,,0,cerapp_experimental_functional,inchi
10001-13-5(2),FRSIMZWJVMLPAI-UHFFFAOYSA-N,"InChI=1S/C12H22N2O/c1-13-7-9-14(10-8-13)12(15)11-5-3-2-4-6-11/h11H,2-10H2,1H3",ER,inactive,,0,cerapp_experimental_functional,inchi
10004-44-1(2),KGVPNLBXJKTABS-UHFFFAOYSA-N,"InChI=1S/C4H5NO2/c1-3-2-4(6)5-7-3/h2H,1H3,(H,5,6)",ER,inactive,,0,cerapp_experimental_functional,inchi
10016-20-3(6),HFHDHCJBZVLPGP-UHFFFAOYSA-N,"InChI=1S/C36H60O30/c37-1-7-25-13(43)19(49)31(55-7)62-26-8(2-38)57-33(21(51)15(26)45)64-28-10(4-40)59-35(23(53)17(28)47)66-30-12(6-42)60-36(24(54)18(30)48)65-29-11(5-41)58-34(22(52)16(29)46)63-27-9(3-39)56-32(61-25)20(50)14(27)44/h7-54H,1-6H2",ER,inactive,,0,cerapp_experimental_functional,inchi
1002-69-3(2),ZTEHOZMYMCEYRM-UHFFFAOYSA-N,"InChI=1S/C10H21Cl/c1-2-3-4-5-6-7-8-9-10-11/h2-10H2,1H3",ER,inactive,,0,cerapp_experimental_functional,inchi
1002-84-2(2),WQEPLUUGTLDZJY-UHFFFAOYSA-N,"InChI=1S/C15H30O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15(16)17/h2-14H2,1H3,(H,16,17)",ER,inactive,,0,cerapp_experimental_functional,inchi
10023-54-8(2),CMLVHSVFSYNMGM-WYMLVPIESA-N,"InChI=1S/C26H31Cl2N3/c1-4-31(5-2)16-8-9-19(3)29-26-18-22(14-12-20-10-6-7-11-24(20)28)30-25-17-21(27)13-15-23(25)26/h6-7,10-15,17-19H,4-5,8-9,16H2,1-3H3,(H,29,30)/b14-12+",ER,inactive,,0,cerapp_experimental_functional,inchi
100286-90-6(2),UWKQSNNFCGGAFS-UHFFFAOYSA-N,"InChI=1S/C33H38N4O6/c1-3-22-23-16-21(43-32(40)36-14-10-20(11-15-36)35-12-6-5-7-13-35)8-9-27(23)34-29-24(22)18-37-28(29)17-26-25(30(37)38)19-42-31(39)33(26,41)4-2/h8-9,16-17,20,41H,3-7,10-15,18-19H2,1-2H3",ER,active,,1,cerapp_experimental_functional,inchi
100299-08-9(2),HIANJWSAHKJQTH-UHFFFAOYSA-N,"InChI=1S/C10H8N6O/c1-6-3-2-4-16-9(6)11-5-7(10(16)17)8-12-14-15-13-8/h2-5H,1H3,(H,12,13,14,15)",ER,inactive,,0,cerapp_experimental_functional,inchi
10032-15-2(2),YUECNVSODFDKOQ-UHFFFAOYSA-N,"InChI=1S/C11H22O2/c1-4-6-7-8-9-13-11(12)10(3)5-2/h10H,4-9H2,1-3H3",ER,inactive,,0,cerapp_experimental_functional,inchi
10040-45-6(2),UJIDKYTZIQTXPM-UHFFFAOYSA-N,"InChI=1S/C18H15NO8S2/c20-28(21,22)26-15-8-4-13(5-9-15)18(17-3-1-2-12-19-17)14-6-10-16(11-7-14)27-29(23,24)25/h1-12,18H,(H,20,21,22)(H,23,24,25)",ER,inactive,,0,cerapp_experimental_functional,inchi
10042-59-8(2),YLQLIQIAXYRMDL-UHFFFAOYSA-N,"InChI=1S/C10H22O/c1-3-5-6-8-10(9-11)7-4-2/h10-11H,3-9H2,1-2H3",ER,inactive,,0,cerapp_experimental_functional,inchi
10049-83-9(2),SIXLXDIJGIWWFU-UHFFFAOYSA-N,"InChI=1S/C16H20N2O4S2/c1-9-15(21)13(5-19)11(3-17-9)7-23-24-8-12-4-18-10(2)16(22)14(12)6-20/h3-4,19-22H,5-8H2,1-2H3",ER,inactive,,0,cerapp_experimental_functional,inchi
10052-47-8(2),SEACXNRNJAXIBM-UHFFFAOYSA-N,"InChI=1S/C7H18N/c1-5-8(4,6-2)7-3/h5-7H2,1-4H3/q+1",ER,inactive,,0,cerapp_experimental_functional,inchi
100643-71-8(2),JAUOIFJMECXRGI-UHFFFAOYSA-N,"InChI=1S/C19H19ClN2/c20-16-5-6-17-15(12-16)4-3-14-2-1-9-22-19(14)18(17)13-7-10-21-11-8-13/h1-2,5-6,9,12,21H,3-4,7-8,10-11H2",ER,inactive,,0,cerapp_experimental_functional,inchi
100678-32-8(2),IPOBOOXFSRWSHL-UHFFFAOYSA-N,"InChI=1S/C18H18N2/c1-3-7-14(8-4-1)18(15-9-5-2-6-10-15)13-16(18)17-19-11-12-20-17/h1-10,16H,11-13H2,(H,19,20)",ER,inactive,,0,cerapp_experimental_functional,inchi
1007-28-9(2),IVENSCMCQBJAKW-UHFFFAOYSA-N,"InChI=1S/C5H8ClN5/c1-2-8-5-10-3(6)9-4(7)11-5/h2H2,1H3,(H3,7,8,9,10,11)",ER,inactive,,0,cerapp_experimental_functional,inchi
1008-72-6(2),SHHKMWMIKILKQW-UHFFFAOYSA-N,"InChI=1S/C7H6O4S/c8-5-6-3-1-2-4-7(6)12(9,10)11/h1-5H,(H,9,10,11)",ER,inactive,,0,cerapp_experimental_functional,inchi
10081-67-1(4),UJAWGGOCYUPCPS-UHFFFAOYSA-N,"InChI=1S/C30H31N/c1-29(2,23-11-7-5-8-12-23)25-15-19-27(20-16-25)31-28-21-17-26(18-22-28)30(3,4)24-13-9-6-10-14-24/h5-22,31H,1-4H3",ER,inactive,,0,cerapp_experimental_functional,inchi
1009-61-6(2),SKBBQSLSGRSQAJ-UHFFFAOYSA-N,"InChI=1S/C10H10O2/c1-7(11)9-3-5-10(6-4-9)8(2)12/h3-6H,1-2H3",ER,inactive,,0,cerapp_experimental_functional,inchi
1009-93-4(2),WGGNJZRNHUJNEM-UHFFFAOYSA-N,"InChI=1S/C6H21N3Si3/c1-10(2)7-11(3,4)9-12(5,6)8-10/h7-9H,1-6H3",ER,inactive,,0,cerapp_experimental_functional,inchi
10094-34-5(2),SHSGYHAHMQLYRB-UHFFFAOYSA-N,"InChI=1S/C14H20O2/c1-4-8-13(15)16-14(2,3)11-12-9-6-5-7-10-12/h5-7,9-10H,4,8,11H2,1-3H3",ER,inactive,,0,cerapp_experimental_functional,inchi
101-02-0(4),HVLLSGMXQDNUAL-UHFFFAOYSA-N,InChI=1S/C18H15O3P/c1-4-10-16(11-5-1)19-22(20-17-12-6-2-7-13-17)21-18-14-8-3-9-15-18/h1-15H,ER,inactive,,0,cerapp_experimental_functional,inchi
101-05-3(2),IMHBYKMAHXWHRP-UHFFFAOYSA-N,"InChI=1S/C9H5Cl3N4/c10-5-3-1-2-4-6(5)13-9-15-7(11)14-8(12)16-9/h1-4H,(H,13,14,15,16)",ER,inactive,,0,cerapp_experimental_functional,inchi
101-10-0(2),YNTJKQDWYXUTLZ-UHFFFAOYSA-N,"InChI=1S/C9H9ClO3/c1-6(9(11)12)13-8-4-2-3-7(10)5-8/h2-6H,1H3,(H,11,12)",ER,inactive,,0,cerapp_experimental_functional,inchi
101-11-1(2),BQGRVFPPZJPWPB-UHFFFAOYSA-N,"InChI=1S/C15H17NO3S/c1-2-16(14-8-4-3-5-9-14)12-13-7-6-10-15(11-13)20(17,18)19/h3-11H,2,12H2,1H3,(H,17,18,19)",ER,inactive,,0,cerapp_experimental_functional,inchi
101-14-4(2),IBOFVQJTBBUKMU-UHFFFAOYSA-N,"InChI=1S/C13H12Cl2N2/c14-10-6-8(1-3-12(10)16)5-9-2-4-13(17)11(15)7-9/h1-4,6-7H,5,16-17H2",ER,inactive,,0,cerapp_experimental_functional,inchi
101-18-8(2),NDACNGSDAFKTGE-UHFFFAOYSA-N,"InChI=1S/C12H11NO/c14-12-8-4-7-11(9-12)13-10-5-2-1-3-6-10/h1-9,13-14H",ER,active,,1,cerapp_experimental_functional,inchi
101-20-2(6),ICUTUKXCWQYESQ-UHFFFAOYSA-N,"InChI=1S/C13H9Cl3N2O/c14-8-1-3-9(4-2-8)17-13(19)18-10-5-6-11(15)12(16)7-10/h1-7H,(H2,17,18,19)",ER,active,,1,cerapp_experimental_functional,inchi
101-21-3(4),CWJSHJJYOPWUGX-UHFFFAOYSA-N,"InChI=1S/C10H12ClNO2/c1-7(2)14-10(13)12-9-5-3-4-8(11)6-9/h3-7H,1-2H3,(H,12,13)",ER,inactive,,0,cerapp_experimental_functional,inchi
101-26-8(2),RVOLLAQWKVFTGE-UHFFFAOYSA-N,"InChI=1S/C9H13N2O2/c1-10(2)9(12)13-8-5-4-6-11(3)7-8/h4-7H,1-3H3/q+1",ER,inactive,,0,cerapp_experimental_functional,inchi
101-27-9(2),MCOQHIWZJUDQIC-UHFFFAOYSA-N,"InChI=1S/C11H9Cl2NO2/c12-6-1-2-7-16-11(15)14-10-5-3-4-9(13)8-10/h3-5,8H,6-7H2,(H,14,15)",ER,inactive,,0,cerapp_experimental_functional,inchi
101-37-1(2),BJELTSYBAHKXRW-UHFFFAOYSA-N,"InChI=1S/C12H15N3O3/c1-4-7-16-10-13-11(17-8-5-2)15-12(14-10)18-9-6-3/h4-6H,1-3,7-9H2",ER,inactive,,0,cerapp_experimental_functional,inchi
101-39-3(2),VLUMOWNVWOXZAU-VQHVLOKHSA-N,"InChI=1S/C10H10O/c1-9(8-11)7-10-5-3-2-4-6-10/h2-8H,1H3/b9-7+",ER,inactive,,0,cerapp_experimental_functional,inchi
101-40-6(2),JCRIVQIOJSSCQD-UHFFFAOYSA-N,"InChI=1S/C10H21N/c1-9(11-2)8-10-6-4-3-5-7-10/h9-11H,3-8H2,1-2H3",ER,inactive,,0,cerapp_experimental_functional,inchi
101-41-7(2),CRZQGDNQQAALAY-UHFFFAOYSA-N,"InChI=1S/C9H10O2/c1-11-9(10)7-8-5-3-2-4-6-8/h2-6H,7H2,1H3",ER,inactive,,0,cerapp_experimental_functional,inchi
101-42-8(2),XXOYNJXVWVNOOJ-UHFFFAOYSA-N,"InChI=1S/C9H12N2O/c1-11(2)9(12)10-8-6-4-3-5-7-8/h3-7H,1-2H3,(H,10,12)",ER,inactive,,0,cerapp_experimental_functional,inchi
101-48-4(2),WNJSKZBEWNVKGU-UHFFFAOYSA-N,"InChI=1S/C10H14O2/c1-11-10(12-2)8-9-6-4-3-5-7-9/h3-7,10H,8H2,1-2H3",ER,inactive,,0,cerapp_experimental_functional,inchi
101-53-1(2),HJSPWKGEPDZNLK-UHFFFAOYSA-N,"InChI=1S/C13H12O/c14-13-8-6-12(7-9-13)10-11-4-2-1-3-5-11/h1-9,14H,10H2",ER,inactive,,0,cerapp_experimental_functional,inchi
"101-54-2(4), 2198-59-6(2)",ATGUVEKSASEFFO-UHFFFAOYSA-N,"InChI=1S/C12H12N2/c13-10-6-8-12(9-7-10)14-11-4-2-1-3-5-11/h1-9,14H,13H2",ER,inactive,,0,cerapp_experimental_functional,inchi
101-55-3(4),JDUYPUMQALQRCN-UHFFFAOYSA-N,InChI=1S/C12H9BrO/c13-10-6-8-12(9-7-10)14-11-4-2-1-3-5-11/h1-9H,ER,inactive,,0,cerapp_experimental_functional,inchi
101-61-1(4),JNRLEMMIVRBKJE-UHFFFAOYSA-N,"InChI=1S/C17H22N2/c1-18(2)16-9-5-14(6-10-16)13-15-7-11-17(12-8-15)19(3)4/h5-12H,13H2,1-4H3",ER,inactive,,0,cerapp_experimental_functional,inchi
101-63-3(2),MWAGUKZCDDRDCS-UHFFFAOYSA-N,InChI=1S/C12H8N2O5/c15-13(16)9-1-5-11(6-2-9)19-12-7-3-10(4-8-12)14(17)18/h1-8H,ER,inactive,,0,cerapp_experimental_functional,inchi
101-70-2(2),VCOONNWIINSFBA-UHFFFAOYSA-N,"InChI=1S/C14H15NO2/c1-16-13-7-3-11(4-8-13)15-12-5-9-14(17-2)10-6-12/h3-10,15H,1-2H3",ER,inactive,,0,cerapp_experimental_functional,inchi
101-71-3(2),ZBJBRUSGEJORQL-UHFFFAOYSA-N,"InChI=1S/C14H13NO2/c15-14(16)17-13-8-6-12(7-9-13)10-11-4-2-1-3-5-11/h1-9H,10H2,(H2,15,16)",ER,active,,1,cerapp_experimental_functional,inchi
101-77-9(4),YBRVSVVVWCFQMG-UHFFFAOYSA-N,"InChI=1S/C13H14N2/c14-12-5-1-10(2-6-12)9-11-3-7-13(15)8-4-11/h1-8H,9,14-15H2",ER,inactive,,0,cerapp_experimental_functional,inchi
101-79-1(2),YTISFYMPVILQRL-UHFFFAOYSA-N,"InChI=1S/C12H10ClNO/c13-9-1-5-11(6-2-9)15-12-7-3-10(14)4-8-12/h1-8H,14H2",ER,inactive,,0,cerapp_experimental_functional,inchi
101-80-4(4),HLBLWEWZXPIGSM-UHFFFAOYSA-N,"InChI=1S/C12H12N2O/c13-9-1-5-11(6-2-9)15-12-7-3-10(14)4-8-12/h1-8H,13-14H2",ER,inactive,,0,cerapp_experimental_functional,inchi
101-81-5(2),CZZYITDELCSZES-UHFFFAOYSA-N,"InChI=1S/C13H12/c1-3-7-12(8-4-1)11-13-9-5-2-6-10-13/h1-10H,11H2",ER,inactive,,0,cerapp_experimental_functional,inchi
101-83-7(6),XBPCUCUWBYBCDP-UHFFFAOYSA-N,"InChI=1S/C12H23N/c1-3-7-11(8-4-1)13-12-9-5-2-6-10-12/h11-13H,1-10H2",ER,inactive,,0,cerapp_experimental_functional,inchi
101-84-8(4),USIUVYZYUHIAEV-UHFFFAOYSA-N,InChI=1S/C12H10O/c1-3-7-11(8-4-1)13-12-9-5-2-6-10-12/h1-10H,ER,inactive,,0,cerapp_experimental_functional,inchi
101-85-9(2),LIPHCKNQPJXUQF-KAMYIIQDSA-N,"InChI=1S/C14H20O/c1-2-3-5-10-14(12-15)11-13-8-6-4-7-9-13/h4,6-9,11,15H,2-3,5,10,12H2,1H3/b14-11-",ER,inactive,,0,cerapp_experimental_functional,inchi
101-86-0(4),GUUHFMWKWLOQMM-NTCAYCPXSA-N,"InChI=1S/C15H20O/c1-2-3-4-6-11-15(13-16)12-14-9-7-5-8-10-14/h5,7-10,12-13H,2-4,6,11H2,1H3/b15-12+",ER,inactive,,0,cerapp_experimental_functional,inchi
101-90-6(2),WPYCRFCQABTEKC-UHFFFAOYSA-N,"InChI=1S/C12H14O4/c1-2-9(13-5-11-7-15-11)4-10(3-1)14-6-12-8-16-12/h1-4,11-12H,5-8H2",ER,inactive,,0,cerapp_experimental_functional,inchi
"101-93-9(4), 620-99-5(2)",QXDAEKSDNVPFJG-UHFFFAOYSA-N,"InChI=1S/C18H22N2O2/c1-4-21-17-10-6-15(7-11-17)19-14(3)20-16-8-12-18(13-9-16)22-5-2/h6-13H,4-5H2,1-3H3,(H,19,20)",ER,inactive,,0,cerapp_experimental_functional,inchi
101-96-2(2),FSWDLYNGJBGFJH-UHFFFAOYSA-N,"InChI=1S/C14H24N2/c1-5-11(3)15-13-7-9-14(10-8-13)16-12(4)6-2/h7-12,15-16H,5-6H2,1-4H3",ER,active,,1,cerapp_experimental_functional,inchi
101-97-3(2),DULCUDSUACXJJC-UHFFFAOYSA-N,"InChI=1S/C10H12O2/c1-2-12-10(11)8-9-6-4-3-5-7-9/h3-7H,2,8H2,1H3",ER,inactive,,0,cerapp_experimental_functional,inchi
101001-34-7(2),ISCHOARKJADAKJ-UHFFFAOYSA-N,"InChI=1S/C25H24N2O4S/c1-4-31-22(28)16-27-15-5-6-21(27)25-26-23(17-7-11-19(29-2)12-8-17)24(32-25)18-9-13-20(30-3)14-10-18/h5-15H,4,16H2,1-3H3",ER,inactive,,0,cerapp_experimental_functional,inchi
101152-94-7(2),GJJFMKBJSRMPLA-UHFFFAOYSA-N,"InChI=1S/C15H22N2O/c1-3-17(4-2)14(18)15(10-13(15)11-16)12-8-6-5-7-9-12/h5-9,13H,3-4,10-11,16H2,1-2H3",ER,inactive,,0,cerapp_experimental_functional,inchi
101200-48-0(2),VLCQZHSMCYCDJL-UHFFFAOYSA-N,"InChI=1S/C15H17N5O6S/c1-9-16-13(18-14(17-9)26-4)20(2)15(22)19-27(23,24)11-8-6-5-7-10(11)12(21)25-3/h5-8H,1-4H3,(H,19,22)",ER,inactive,,0,cerapp_experimental_functional,inchi
101312-92-9(2),LLYYNOVSVPBRGV-UHFFFAOYSA-N,"InChI=1S/C31H52N2O5S/c1-10-29(8)15-22(38-23(35)16-39-28(6,7)17-33-27(37)24(32)18(2)3)30(9)19(4)11-13-31(20(5)26(29)36)14-12-21(34)25(30)31/h10,18-20,22,24-26,36H,1,11-17,32H2,2-9H3,(H,33,37)",ER,inactive,,0,cerapp_experimental_functional,inchi
1014-70-6(2),MGLWZSOBALDPEK-UHFFFAOYSA-N,"InChI=1S/C8H15N5S/c1-4-9-6-11-7(10-5-2)13-8(12-6)14-3/h4-5H2,1-3H3,(H2,9,10,11,12,13)",ER,inactive,,0,cerapp_experimental_functional,inchi
101463-69-8(2),RYLHNOVXKPXDIP-UHFFFAOYSA-N,"InChI=1S/C21H11ClF6N2O3/c22-12-8-10(21(26,27)28)4-7-17(12)33-11-5-6-16(15(25)9-11)29-20(32)30-19(31)18-13(23)2-1-3-14(18)24/h1-9H,(H2,29,30,31,32)",ER,inactive,,0,cerapp_experimental_functional,inchi
101477-54-7(2),JQSAYKKFZOSZGJ-UHFFFAOYSA-N,"InChI=1S/C27H30F2N2O3/c1-32-24-13-8-21(26(33-2)27(24)34-3)18-30-14-16-31(17-15-30)25(19-4-9-22(28)10-5-19)20-6-11-23(29)12-7-20/h4-13,25H,14-18H2,1-3H3",ER,inactive,,0,cerapp_experimental_functional,inchi
101526-62-9(2),KHYPYQZQJSBPIX-UHFFFAOYSA-N,"InChI=1S/C14H23N3O3S/c1-4-17(5-2)11-10-15-14(18)12-6-8-13(9-7-12)16-21(3,19)20/h6-9,16H,4-5,10-11H2,1-3H3,(H,15,18)",ER,inactive,,0,cerapp_experimental_functional,inchi
101530-10-3(2),ZRTQSJFIDWNVJW-OWBHPGMISA-N,"InChI=1S/C14H10ClN3S2/c15-11-4-2-1-3-10(11)13-8-19-14(20-13)12(7-16)18-6-5-17-9-18/h1-6,9,13H,8H2/b14-12-",ER,inactive,,0,cerapp_experimental_functional,inchi
10161-33-8(4),MEHHPFQKXOUFFV-UHFFFAOYSA-N,"InChI=1S/C18H22O2/c1-18-9-8-14-13-5-3-12(19)10-11(13)2-4-15(14)16(18)6-7-17(18)20/h8-10,15-17,20H,2-7H2,1H3",ER,active,,1,cerapp_experimental_functional,inchi
